"0357T","cryopreservation oocyte(s)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0058T","Cryopreservation ovary tiss","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0111T","RBC membranes fatty acids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36415","Routine venipuncture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78110","Plasma volume single","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78111","Plasma volume multiple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78120","Red cell mass single","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78121","Red cell mass multiple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78122","Blood volume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78130","Red cell survival study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78191","Platelet survival","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78267","Breath tst attain/anal c-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78268","Breath test analysis c-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78270","Vit B-12 absorption exam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78271","Vit B-12 absrp exam int fac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78272","Vit B-12 absorp combined","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78725","Kidney function study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0027","Semen analysis ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0103","Psa screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0123","Screen cerv/vag thin layer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0124","Screen c/v thin layer by MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0141","Scr c/v cyto,autosys and md","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0143","Scr c/v cyto,thinlayer,rescr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0144","Scr c/v cyto,thinlayer,rescr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0145 ","Scr c/v cyto,thinlayer,rescr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0147","Scr c/v cyto, automated sys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0148","Scr c/v cyto, autosys, rescr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0306","CBC/diffwbc w/o platelet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0307","CBC without platelet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0328","Fecal blood scrn immunoassay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0416","Prostate biopsy, any mthd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0432","EIA HIV-1/HIV-2 screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0433","ELISA HIV-1/HIV-2 screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0435","Oral HIV-1/HIV-2 screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0475 ","HIV combination assay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0476","HPV combo assay CA screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9143","Warfarin respon genetic test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2028","Cephalin floculation test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2029","Congo red blood test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2033","Blood thymol turbidity ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
