0357T,cryopreservation oocyte(s)
0058T,Cryopreservation ovary tiss
0111T,RBC membranes fatty acids
36415,Routine venipuncture
78110,Plasma volume single
78111,Plasma volume multiple
78120,Red cell mass single
78121,Red cell mass multiple
78122,Blood volume
78130,Red cell survival study
78191,Platelet survival
78267,Breath tst attain/anal c-14
78268,Breath test analysis c-14
78270,Vit B-12 absorption exam
78271,Vit B-12 absrp exam int fac
78272,Vit B-12 absorp combined
78725,Kidney function study
G0027,Semen analysis 
G0103,Psa screening
G0123,Screen cerv/vag thin layer
G0124,Screen c/v thin layer by MD
G0141,"Scr c/v cyto,autosys and md"
G0143,"Scr c/v cyto,thinlayer,rescr"
G0144,"Scr c/v cyto,thinlayer,rescr"
G0145 ,"Scr c/v cyto,thinlayer,rescr"
G0147,"Scr c/v cyto, automated sys"
G0148,"Scr c/v cyto, autosys, rescr"
G0306,CBC/diffwbc w/o platelet
G0307,CBC without platelet
G0328,Fecal blood scrn immunoassay
G0416,"Prostate biopsy, any mthd"
G0432,EIA HIV-1/HIV-2 screen
G0433,ELISA HIV-1/HIV-2 screen
G0435,Oral HIV-1/HIV-2 screen
G0475 ,HIV combination assay
G0476,HPV combo assay CA screen
G9143,Warfarin respon genetic test
P2028,Cephalin floculation test
P2029,Congo red blood test
P2033,Blood thymol turbidity 
P2038,Blood mucoprotein
P3000,Screen pap by tech w md supv
P3001,Screening pap smear by phys
P9612,Catheterize for urine spec
P9615,Urine specimen collect mult 
Q0111,Wet mounts/ w preparations
Q0112,Potassium hydroxide preps
Q0113,Pinworm examinations
Q0114,Fern test
Q0115,Post-coital mucous exam
0019T,Extracorp shock wv tx ms nos
64550,Apply neurostimulator
90901,Biofeedback train any meth
90911,Biofeedback peri/uro/rectal
92507,Speech/hearing therapy
92508,Speech/hearing therapy
92520,Laryngeal function studies
92521,Evaluation of speech fluency
92522,Evaluate speech production
92523,Speech sound lang comprehen
92524,Behavral qualit analys voice
92526,Oral function therapy
92597,Oral speech device eval
92607,Ex for speech device rx 1hr
92608,Ex for speech device rx addl
92609,Use of speech device service
92610,Evaluate swallowing function
92611,Motion fluoroscopy/swallow
92612,Endoscopy swallow tst (fees)
92614,Laryngoscopic sensory test
92616,Fees w/laryngeal sense test
93797,Cardiac rehab
93798,Cardiac rehab/monitor
95831,Limb muscle testing manual
95832,Hand muscle testing manual
95833,Body muscle testing manual
95834,Body muscle testing manual
95851,Range of motion measurements
95852,Range of motion measurements
95992,Canalith repositioning proc
96000,Motion analysis video/3d
96001,Motion test w/ft press meas
96002,Dynamic surface emg
96003,Dynamic fine wire emg
96105,Assessment of aphasia 
96111,Developmental testing
96125,Cognitive test by HC pro
97001,Pt evaluation
97002,Pt re-evaluation
97003,Ot evaluation
97004,Ot re-evaluation
97010,Hot or cold packs therapy
97012,Mechanical traction therapy
97016,Vasopneumatic device therapy
97018,Paraffin bath therapy
97022,Whirlpool therapy
97024,Diathermy eg microwave
97026,Infrared therapy
97028,Ultraviolet therapy
97032,Electrical stimulation
97033,Electric current therapy
97034,Contrast bath therapy
97035,Ultrasound therapy
97036,Hydrotherapy
97039,Physical therapy treatment
97110,Therapeutic exercises
97112,Neuromuscular reeducation
97113,Aquatic therapy/exercises
97116,Gait training therapy
97124,Massage therapy
97139,Physical medicine procedure
97140,Manual therapy
97150,Group therapeutic procedures
97530,Therapeutic activities
97532,Cognitive skills development
97533,Sensory integration
97535,Self care mngment training
97537,Community/work reintegration
97542,Wheelchair mngment training
97545,Work hardening
97546,Work hardening add-on
97597,RMVL devital tis 20cm/<
97598,RMVL devital tis addl 20 cm<
97602,Wound(s) care non-selective
97605,Neg press wound tx < 50 cm
97606,Neg press wound tx > 50 cm
97607,Neg press wnd tx </=50 sq cm
97608,Neg press wound tx >50 cm
97610,Low frequency non-thermal US
97750,Physical performance test
97755,Assistive technology assess
97760,Orthotic mgmt and training
97761,Prosthetic training
97762,C/O for orthotic/prosth use
97799,Physical medicine procedure
G0281,Elec stim unattend for press
G0283,Elec stim other than wound
G0329,Electromagntic tx for ulcers
G0451,Development test interp & rep
G0460,Autologous PRP for ulcers
0042T,Ct perfusion w/contrast cbf
0159T,Cad breast mri
0174T,Cad cxr with interp
0175T,Cad cxr remote
0330T,Tear film img uni/bi w/i&r
0331T,Heart symp image plnr
0332T,Heart symp image plnr spect
0346T+,Ultrasound elastography
51798,Us urine capacity measure
70100,X-ray exam of jaw
70110,X-ray exam of jaw
70120,X-ray exam of mastoids
70130,X-ray exam of mastoids
70134,X-ray exam of middle ear
70140,X-ray exam of facial bones
70150,X-ray exam of facial bones
70160,X-ray exam of nasal bones
70190,X-ray exam of eye sockets
70200,X-ray exam of eye sockets
70210,X-ray exam of sinuses
70220,X-ray exam of sinuses
70240,X-ray exam pituitary saddle
70250,X-ray exam of skull
70260,X-ray exam of skull
70300,X-ray exam of teeth
70310,X-ray exam of teeth
70320,Full mouth x-ray of teeth
70328,X-ray exam of jaw joint
70330,X-ray exam of jaw joints
70336,Magnetic image jaw joint
70350,X-ray head for orthodontia
70355,Panoramic x-ray of jaws
70360,X-ray exam of neck
70370,Throat x-ray & fluoroscopy
70371,Speech evaluation complex
70380,X-ray exam of salivary gland
70450,Ct head/brain w/o dye
70460,Ct head/brain w/dye
70470,Ct head/brain w/o & w/dye
70480,Ct orbit/ear/fossa w/o dye
70481,Ct orbit/ear/fossa w/dye 
70482,Ct orbit/ear/fossa w/o&w/dye
70486,Ct maxillofacial w/o dye
70487,Ct maxillofacial w/dye
70488,Ct maxillofacial w/o & w/dye
70490,Ct soft tissue neck w/o dye
70491,Ct soft tissue neck w/dye
70492,Ct sft tsue nck w/o & w/dye
70496,Ct angiography head
70498,Ct angiography neck
70540,Mri orbit/face/neck w/o dye
70542,Mri orbit/face/neck w/dye
70543,Mri orbt/fac/nck w/o & w/dye
70544,Mr angiography head w/o dye
70545,Mr angiography head w/dye
70546,Mr angiograph head w/o&w/dye
70547,Mr angiography neck w/o dye
70548,Mr angiography neck w/dye
70549,Mr angiograph neck w/o&w/dye
70551,Mri brain w/o dye
70552,Mri brain w/dye
70553,Mri brain w/o & w/dye 
70554,Fmri brain by tech
70555,Fmri brain by phys/psych
71010,Chest x-ray
71015,Chest x-ray
71020,Chest x-ray
71021,Chest x-ray
71022,Chest x-ray
71023,Chest x-ray and fluoroscopy
71030,Chest x-ray
71034,Chest x-ray and fluoroscopy
71035,Chest x-ray
71100,X-ray exam of ribs
71101,X-ray exam of ribs/chest
71110,X-ray exam of ribs
71111,X-ray exam of ribs/chest
71120,X-ray exam of breastbone
71130,X-ray exam of breastbone
71250,Ct thorax w/o dye
71260,Ct thorax w/dye
71270,Ct thorax w/o & w/dye
71275,Ct angiography chest
71550,Mri chest w/o dye
71551,Mri chest w/dye
71552,Mri chest w/o & w/dye
71555,Mri angio chest w or w/o dye
72020,X-ray exam of spine
72040,X-ray exam neck spine 3/<vws
72050,X-ray exam of neck spine
72052,X-ray exam of neck spine
72070,X-ray exam of thoracic spine
72072,X-ray exam of thoracic spine
72074,X-ray exam of thoracic spine
72080,X-ray exam of trunk spine
72081,X-ray exam entire spi 1 vw
72082,X-ray exam entire spi 2/3 vw
72083,X-ray exam entire spi 4/5 vw
72084,X-ray exam entire spi 6/> vw
72100,X-ray exam of lower spine
72110,X-ray exam of lower spine
72114,X-ray exam of lower spine
72120,X-ray exam of lower spine
72125,Ct neck spine w/o dye
72126,Ct neck spine w/dye
72127,Ct neck spine w/o & w/dye
72128,Ct chest spine w/o dye
72129,Ct chest spine w/dye
72130,Ct chest spine w/o & w/dye
72131,Ct lumbar spine w/o dye
72132,Ct lumbar spine w/dye
72133,Ct lumbar spine w/o & w/dye
72141,Mri neck spine w/o dye
72142,Mri neck spine w/dye
72146,Mri chest spine w/o dye
72147,Mri chest spine w/dye
72148,Mri lumbar spine w/o dye
72149,Mri lumbar spine w/dye
72156,Mri neck spine w/o & w/dye
72157,Mri chest spine w/o & w/dye
72158,Mri lumbar spine w/o & w/dye
72159,Mr angio spine w/o&w/dye
72170,X-ray exam of pelvis
72190,X-ray exam of pelvis
72191,Ct angiograph pelv w/o&w/dye
72192,Ct pelvis w/o dye
72193,Ct pelvis w/dye
72194,Ct pelvis w/o & w/dye
72195,Mri pelvis w/o dye
72196,Mri pelvis w/dye
72197,Mri pelvis w/o & w/dye
72198,Mr angio pelvis w/o & w/dye
72200,X-ray exam sacroiliac joints
72202,X-ray exam sacroiliac joints
72220,X-ray exam of tailbone
73000,X-ray exam of collar bone
73010,X-ray exam of shoulder blade
73020,X-ray exam of shoulder
73030,X-ray exam of shoulder
73050,X-ray exam of shoulders
73060,X-ray exam of humerus
73070,X-ray exam of elbow
73080,X-ray exam of elbow
73090,X-ray exam of forearm
73092,X-ray exam of arm infant
73100,X-ray exam of wrist
73110,X-ray exam of wrist
73120,X-ray exam of hand
73130,X-ray exam of hand
73140,X-ray exam of finger(s)
73200,Ct upper extremity w/o dye
73201,Ct upper extremity w/dye
73202,Ct uppr extremity w/o&w/dye
73206,Ct angio upr extrm w/o&w/dye
73218,Mri upper extremity w/o dye
73219,Mri upper extremity w/dye
73220,Mri uppr extremity w/o&w/dye
73221,Mri joint upr extrem w/o dye
73222,Mri joint upr extrem w/dye
73223,Mri joint upr extr w/o&w/dye
73225,Mr angio upr extr w/o&w/dye
73501,X-ray exam hip uni 1 view
73502,X-ray exam hip uni 2-3 views
73503,X-ray exam hip uni 4/> views
73521,X-ray exam hips bi 2 views
73522,X-ray exam hips bi 3-4 views
73523,X-ray exam hips bi 5/> views
73551,X-ray exam of femur 1
73552,X-ray exam of femur 2/>
73560,X-ray exam of knee 1 or 2
73562,X-ray exam of knee 3
73564,X-ray exam knee 4 or more
73565,X-ray exam of knees
73590,X-ray exam of lower leg
73592,X-ray exam of leg infant
73600,X-ray exam of ankle
73610,X-ray exam of ankle
73620,X-ray exam of foot
73630,X-ray exam of foot
73650,X-ray exam of heel
73660,X-ray exam of toe(s)
73700,Ct lower extremity w/o dye
73701,Ct lower extremity w/dye
73702,Ct lwr extremity w/o&w/dye
73706,Ct angio lwr extr w/o&w/dye
73718,Mri lower extremity w/o dye
73719,Mri lower extremity w/dye
73720,Mri lwr extremity w/o&w/dye
73721,Mri jnt of lwr extre w/o dye
73722,Mri joint of lwr extr w/dye
73723,Mri joint lwr extr w/o&w/dye
73725,Mr ang lwr ext w or w/o dye
74000,X-ray exam of abdomen
74010,X-ray exam of abdomen
74020,X-ray exam of abdomen
74022,X-ray exam series abdomen
74150,Ct abdomen w/o dye
74160,Ct abdomen w/dye
74170,Ct abdomen w/o & w/dye
74174,Ct angio abd&pelv w/o&w/dye
74175,Ct angio abdom w/o & w/dye
74176,Ct abd & pelvis
74177,Ct abd & pelv w/contrast
74178,Ct abd & pelv 1/>regns
74181,Mri abdomen w/o dye
74182,Mri abdomen w/dye
74183,Mri abdomen w/o & w/dye
74185,Mri angio abdom w orw/o dye
74210,Contrst x-ray exam of throat
74220,Contrast x-ray esophagus
74230,Cine/vid x-ray throat/esoph
74240,X-ray exam upper gi tract
74241,X-ray exam upper gi tract
74245,X-ray exam upper gi tract
74246,Contrst x-ray uppr gi tract
74247,Contrst x-ray uppr gi tract
74249,Contrst x-ray uppr gi tract
74250,X-ray exam of small bowel
74261,Ct colonography dx
74262,Ct colonography dx w/dye
74290,Contrast x-ray gallbladder
74710,X-ray measurement of pelvis
74712,Mri fetal sngl/1st gestation
75557,Cardiac MRI for morph
75559,Cardiac MRI w/stress img
75561,Cardiac MRI for morph w/dye
75563,Card MRI w/stress img & dye
